TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.56336e-05    	1.17486e-05    	1.37326e-05    	6.66301e-06    	0.000733801    	0.0187591      	0.0836253      	7.3028e-10     	10             	4.00299e-10    	2.58553e-11    	0.000767311    	0.0077409      	2.56363e-05    	1.04051e-05    	1.51545e-05    	5.97729e-06    	0.00247413     	0.000103061    	8.6595e-10     	0.00717417     	87.0001        	4.00158e-10    	2.85153e-11    	0.000847058    	0.000143389    	2.56341e-05    	1.15189e-05    	1.39757e-05    	6.54579e-06    	0.00103129     	6.32935e-21    	1e-20          	1e-20          	1e-20          	4.00274e-10    	2.63103e-11    	0.000780943    	3.67065e-21    	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.60293e-05    	1.19663e-05    	1.39077e-05    	6.78651e-06    	0.000773442    	0.0184677      	0.0836245      	7.30278e-10    	10             	3.9426e-10     	2.5793e-11     	0.000788997    	0.00803233     	2.57401e-05    	1.04108e-05    	1.52523e-05    	5.98025e-06    	0.00247188     	0.000103115    	8.6595e-10     	0.00717409     	87.0001        	3.98553e-10    	2.85847e-11    	0.000855953    	0.000143335    	2.59594e-05    	1.15995e-05    	1.42231e-05    	6.59638e-06    	0.00117396     	6.02348e-21    	1e-20          	1e-20          	1e-20          	3.9529e-10     	2.64447e-11    	0.000804788    	3.97652e-21    	-0.00112908            	-2.75126e-12           	8.421e-08              	-1.47143e-14           	-0.00984407            	0.00472655             
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.64511e-05    	1.22122e-05    	1.40805e-05    	6.92595e-06    	0.000822701    	0.0181179      	0.0836239      	7.30276e-10    	10             	3.88022e-10    	2.57036e-11    	0.00081164     	0.00838208     	2.58534e-05    	1.04174e-05    	1.53587e-05    	5.9837e-06     	0.00246984     	0.000103165    	8.6595e-10     	0.00717401     	87.0001        	3.96815e-10    	2.86593e-11    	0.000865702    	0.000143285    	2.62551e-05    	1.16355e-05    	1.44872e-05    	6.62321e-06    	0.00135191     	5.68106e-21    	1e-20          	1e-20          	1e-20          	3.90863e-10    	2.66358e-11    	0.000829014    	4.31894e-21    	-0.00092281            	-2.87997e-12           	7.12763e-08            	-1.47143e-14           	-0.00985867            	0.00454202             
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.6896e-05     	1.24741e-05    	1.42602e-05    	7.0745e-06     	0.000872722    	0.0177761      	0.0836233      	7.30274e-10    	10             	3.81654e-10    	2.56077e-11    	0.000835711    	0.00872395     	2.59564e-05    	1.04249e-05    	1.54539e-05    	5.98768e-06    	0.00246802     	0.000103209    	8.6595e-10     	0.00717392     	87.0001        	3.95249e-10    	2.87237e-11    	0.000874518    	0.000143241    	2.64816e-05    	1.15846e-05    	1.47718e-05    	6.60273e-06    	0.00156521     	5.31862e-21    	1e-20          	1e-20          	1e-20          	3.87533e-10    	2.69285e-11    	0.000852563    	4.68138e-21    	-0.000914808           	-3.03747e-12           	7.72742e-08            	-1.47143e-14           	-0.00987197            	0.00478262             
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.74316e-05    	1.28004e-05    	1.44652e-05    	7.25955e-06    	0.000928794    	0.0174079      	0.0836227      	7.30272e-10    	10             	3.74262e-10    	2.5477e-11     	0.000864473    	0.00909215     	2.6051e-05     	1.04336e-05    	1.55396e-05    	5.99231e-06    	0.00246643     	0.000103248    	8.6595e-10     	0.00717384     	87.0001        	3.9382e-10     	2.87791e-11    	0.000882558    	0.000143202    	2.66177e-05    	1.14195e-05    	1.50836e-05    	6.5202e-06     	0.00182591     	4.93392e-21    	1e-20          	1e-20          	1e-20          	3.85551e-10    	2.73561e-11    	0.000875033    	5.06608e-21    	-0.00090108            	-3.1947e-12            	8.25446e-08            	-1.47143e-14           	-0.00988414            	0.00499066             
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	2.8095e-05     	1.3213e-05     	1.47057e-05    	7.49447e-06    	0.000994532    	0.0169951      	0.0836221      	7.3027e-10     	10             	3.65499e-10    	2.5299e-11     	0.000899913    	0.00950486     	2.6132e-05     	1.04437e-05    	1.56101e-05    	5.99778e-06    	0.0024651      	0.00010328     	8.6595e-10     	0.00717376     	87.0001        	3.92606e-10    	2.88211e-11    	0.000889303    	0.00014317     	2.65649e-05    	1.10646e-05    	1.54e-05       	6.33335e-06    	0.00213538     	4.54376e-21    	1e-20          	1e-20          	1e-20          	3.86287e-10    	2.79813e-11    	0.000891689    	5.45624e-21    	-0.000939463           	-3.36779e-12           	9.55662e-08            	-1.47143e-14           	-0.00989538            	0.00532958             
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.8608e-05     	1.35173e-05    	1.49105e-05    	7.66702e-06    	0.00104894     	0.0166681      	0.0836214      	7.30267e-10    	10             	3.58997e-10    	2.51988e-11    	0.00092897     	0.00983193     	2.61941e-05    	1.04532e-05    	1.56623e-05    	6.00297e-06    	0.0024648      	0.000103287    	8.6595e-10     	0.00717368     	87.0001        	3.91681e-10    	2.88497e-11    	0.000894387    	0.000143163    	2.61941e-05    	1.04532e-05    	1.56623e-05    	6.00297e-06    	0.0024648      	4.191e-21      	1e-20          	1e-20          	1e-20          	3.91681e-10    	2.88497e-11    	0.000894387    	5.809e-21      	-0.0010097             	-3.5666e-12            	1.15947e-07            	-1.47143e-14           	-0.00990591            	0.00574761             
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.91065e-05    	1.38004e-05    	1.5122e-05     	7.82765e-06    	0.0010987      	0.0163798      	0.0836206      	7.30265e-10    	10             	3.52899e-10    	2.51257e-11    	0.00095843     	0.0101202      	2.622e-05      	1.04532e-05    	1.56882e-05    	6.00297e-06    	0.00246925     	0.000103179    	8.6595e-10     	0.00717359     	87.0001        	3.91296e-10    	2.88692e-11    	0.00089675     	0.000143271    	2.622e-05      	1.04532e-05    	1.56882e-05    	6.00297e-06    	0.00246925     	4.18661e-21    	1e-20          	1e-20          	1e-20          	3.91296e-10    	2.88692e-11    	0.00089675     	5.81339e-21    	-0.00118136            	-3.72787e-12           	1.53424e-07            	-1.47143e-14           	-0.0099122             	0.00637487             
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.64382e-05    	1.18229e-05    	1.36653e-05    	6.78413e-06    	0.000819961    	0.018137       	0.0836201      	7.30262e-10    	10             	3.88163e-10    	2.49514e-11    	0.000787417    	0.00836298     	2.6283e-05     	1.04582e-05    	1.57431e-05    	6.00581e-06    	0.00246729     	0.000103227    	8.6595e-10     	0.00717351     	87.0001        	3.90363e-10    	2.89014e-11    	0.000902034    	0.000143223    	2.63758e-05    	1.12905e-05    	1.44742e-05    	6.48045e-06    	0.00146271     	5.48683e-21    	1e-20          	1e-20          	1e-20          	3.89045e-10    	2.64861e-11    	0.00083214     	4.51317e-21    	-0.000853756           	-3.87283e-12           	1.07157e-07            	-1.47143e-14           	-0.00989687            	0.0055704              
