TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.73308e-05    	1.30093e-05    	1.42344e-05    	7.32912e-06    	0.000682116    	0.0191532      	0.0854243      	10             	3.75649e-10    	2.51637e-11    	0.000847539    	0.00734684     	2.10143e-05    	9.86693e-06    	1.31745e-05    	5.68688e-06    	0.000490593    	0.000193161    	8.65951e-10    	87             	4.8778e-10     	3.01935e-11    	0.000604105    	5.32894e-05    	2.35248e-05    	1.10952e-05    	1.36304e-05    	6.32879e-06    	0.000565454    	7.58737e-21    	1e-20          	1e-20          	4.36012e-10    	2.79413e-11    	0.000699215    	2.41263e-21    	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.77702e-05    	1.3266e-05     	1.44155e-05    	7.47375e-06    	0.000708135    	0.0189527      	0.0854236      	10             	3.69752e-10    	2.5087e-11     	0.000872009    	0.00754727     	2.11341e-05    	9.91071e-06    	1.32233e-05    	5.70989e-06    	0.000492766    	0.000192976    	8.65951e-10    	87             	4.8503e-10     	3.01353e-11    	0.000609777    	5.34743e-05    	2.11341e-05    	9.91071e-06    	1.32233e-05    	5.70989e-06    	0.000492766    	7.83022e-21    	1e-20          	1e-20          	4.8503e-10     	3.01353e-11    	0.000609777    	2.16978e-21    	-0.00109799            	1.17216e-07            	-1.47143e-14           	-0.000550959           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.82477e-05    	1.35601e-05    	1.45969e-05    	7.63943e-06    	0.000765124    	0.0185281      	0.085423       	10             	3.63553e-10    	2.49804e-11    	0.00089804     	0.00797194     	2.11559e-05    	9.91071e-06    	1.32451e-05    	5.70989e-06    	0.000493029    	0.000192953    	8.65951e-10    	87             	4.84533e-10    	3.01541e-11    	0.00061141     	5.34966e-05    	2.11559e-05    	9.91071e-06    	1.32451e-05    	5.70989e-06    	0.000493029    	7.82931e-21    	1e-20          	1e-20          	4.84533e-10    	3.01541e-11    	0.00061141     	2.17069e-21    	-0.000888226           	9.31228e-08            	-1.47143e-14           	-0.000402151           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.87432e-05    	1.38675e-05    	1.4783e-05     	7.81261e-06    	0.000789992    	0.0183487      	0.0854224      	10             	3.57338e-10    	2.48699e-11    	0.000925304    	0.00815134     	2.11763e-05    	9.91071e-06    	1.32655e-05    	5.70989e-06    	0.00049327     	0.000192933    	8.65951e-10    	87             	4.84068e-10    	3.01717e-11    	0.000612941    	5.35171e-05    	2.11763e-05    	9.91071e-06    	1.32655e-05    	5.70989e-06    	0.00049327     	7.82848e-21    	1e-20          	1e-20          	4.84068e-10    	3.01717e-11    	0.000612941    	2.17152e-21    	-0.000894859           	1.01966e-07            	-1.47143e-14           	-0.00037545            
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.93329e-05    	1.42442e-05    	1.49935e-05    	8.02486e-06    	0.00082092     	0.0181303      	0.0854218      	10             	3.50214e-10    	2.47255e-11    	0.000957569    	0.00836967     	2.11953e-05    	9.91071e-06    	1.32845e-05    	5.70989e-06    	0.00049349     	0.000192914    	8.65951e-10    	87             	4.83635e-10    	3.01881e-11    	0.000614369    	5.35358e-05    	2.11953e-05    	9.91071e-06    	1.32845e-05    	5.70989e-06    	0.00049349     	7.82772e-21    	1e-20          	1e-20          	4.83635e-10    	3.01881e-11    	0.000614369    	2.17228e-21    	-0.000893712           	1.09739e-07            	-1.47143e-14           	-0.00034868            
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	3.00643e-05    	1.47205e-05    	1.52403e-05    	8.2941e-06     	0.000860838    	0.0178561      	0.0854211      	10             	3.41768e-10    	2.45317e-11    	0.000997388    	0.0086439      	2.12117e-05    	9.90934e-06    	1.3302e-05     	5.7091e-06     	0.000493622    	0.000192903    	8.65951e-10    	87             	4.83263e-10    	3.02046e-11    	0.000615651    	5.35469e-05    	2.12117e-05    	9.90934e-06    	1.3302e-05     	5.7091e-06     	0.000493622    	7.82727e-21    	1e-20          	1e-20          	4.83263e-10    	3.02046e-11    	0.000615651    	2.17273e-21    	-0.000942839           	1.27373e-07            	-1.47143e-14           	-0.000332416           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.0614e-05     	1.50629e-05    	1.54453e-05    	8.48699e-06    	0.000890581    	0.0176571      	0.0854205      	10             	3.35683e-10    	2.44229e-11    	0.00102913     	0.0088429      	2.12294e-05    	9.90934e-06    	1.33197e-05    	5.7091e-06     	0.000493806    	0.000192887    	8.65951e-10    	87             	4.82862e-10    	3.02198e-11    	0.000616982    	5.35626e-05    	2.12294e-05    	9.90934e-06    	1.33197e-05    	5.7091e-06     	0.000493806    	7.82663e-21    	1e-20          	1e-20          	4.82862e-10    	3.02198e-11    	0.000616982    	2.17337e-21    	-0.00102338            	1.54349e-07            	-1.47143e-14           	-0.000322568           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.11414e-05    	1.53784e-05    	1.5655e-05     	8.66479e-06    	0.000918829    	0.0174722      	0.0854197      	10             	3.30046e-10    	2.43423e-11    	0.00106091     	0.00902783     	2.1247e-05     	9.90934e-06    	1.33373e-05    	5.7091e-06     	0.000493974    	0.000192873    	8.65951e-10    	87             	4.82462e-10    	3.02349e-11    	0.000618311    	5.35769e-05    	2.1247e-05     	9.90934e-06    	1.33373e-05    	5.7091e-06     	0.000493974    	7.82605e-21    	1e-20          	1e-20          	4.82462e-10    	3.02349e-11    	0.000618311    	2.17395e-21    	-0.00120677            	2.04226e-07            	-1.47143e-14           	-0.000320624           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.81879e-05    	1.31119e-05    	1.41882e-05    	7.46795e-06    	0.000695256    	0.0190514      	0.0854191      	10             	3.64273e-10    	2.43256e-11    	0.000871169    	0.00744859     	2.1372e-05     	9.95956e-06    	1.33668e-05    	5.73668e-06    	0.000496261    	0.000192679    	8.65951e-10    	87             	4.79657e-10    	3.01265e-11    	0.000623301    	5.37708e-05    	2.31362e-05    	1.07626e-05    	1.36039e-05    	6.17773e-06    	0.000546956    	7.64773e-21    	1e-20          	1e-20          	4.43277e-10    	2.8348e-11     	0.000686419    	2.35227e-21    	-0.000872125           	1.4036e-07             	-1.47143e-14           	-0.000251356           
