TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.52385e-05    	1.12577e-05    	1.38657e-05    	6.39386e-06    	0.000622918    	0.0196254      	0.0853752      	10             	4.06497e-10    	2.65055e-11    	0.000762931    	0.00687464     	5.38207e-07    	1.22898e-05    	0.000561442    	0.000231483    	0.000335898    	0.000207292    	8.65951e-10    	87             	1.99722e-08    	5.52852e-08    	0.000628792    	3.9158e-05     	8.52785e-06    	1.13377e-05    	4.15263e-05    	2.38426e-05    	0.000600668    	7.47505e-21    	1e-20          	1e-20          	1.21045e-09    	2.37845e-10    	0.000767324    	2.52495e-21    	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.56246e-05    	1.14635e-05    	1.40439e-05    	6.51075e-06    	0.000657342    	0.019348       	0.0853744      	10             	4.00418e-10    	2.64478e-11    	0.00078447     	0.00715202     	5.39048e-07    	1.2289e-05     	0.000560876    	0.00023126     	0.000336182    	0.000207264    	8.65951e-10    	87             	1.99405e-08    	5.51401e-08    	0.000629158    	3.91859e-05    	7.11155e-06    	1.15436e-05    	5.10562e-05    	2.83265e-05    	0.000626168    	7.39578e-21    	1e-20          	1e-20          	1.45387e-09    	3.51805e-10    	0.000785467    	2.60422e-21    	-0.00116525            	8.38503e-08            	-1.47143e-14           	-4.34136e-05           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.60337e-05    	1.16949e-05    	1.42192e-05    	6.64219e-06    	0.000694398    	0.019058       	0.0853738      	10             	3.94174e-10    	2.63637e-11    	0.000806844    	0.00744197     	5.39872e-07    	1.22884e-05    	0.00056031     	0.000231037    	0.0003365      	0.000207233    	8.65951e-10    	87             	1.99095e-08    	5.49974e-08    	0.000629501    	3.9217e-05     	5.86024e-06    	1.17669e-05    	6.34135e-05    	3.38696e-05    	0.000650971    	7.32026e-21    	1e-20          	1e-20          	1.76765e-09    	5.32276e-10    	0.000802398    	2.67974e-21    	-0.000955168           	7.17213e-08            	-1.47143e-14           	-3.32534e-05           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.64637e-05    	1.19406e-05    	1.44011e-05    	6.78171e-06    	0.000731777    	0.0187742      	0.0853732      	10             	3.87819e-10    	2.62738e-11    	0.000830554    	0.00772578     	5.40694e-07    	1.22881e-05    	0.000559745    	0.000230815    	0.000336851    	0.000207199    	8.65951e-10    	87             	1.98786e-08    	5.48552e-08    	0.000629841    	3.92515e-05    	4.78935e-06    	1.19932e-05    	7.92642e-05    	4.07127e-05    	0.000671963    	7.25754e-21    	1e-20          	1e-20          	2.16763e-09    	8.17673e-10    	0.000817895    	2.74246e-21    	-0.000949407           	7.84333e-08            	-1.47143e-14           	-2.70597e-05           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.69788e-05    	1.22454e-05    	1.46082e-05    	6.95487e-06    	0.000773576    	0.0184667      	0.0853725      	10             	3.80474e-10    	2.61509e-11    	0.00085876     	0.0080333      	5.41518e-07    	1.2288e-05     	0.00055918     	0.000230593    	0.000337241    	0.00020716     	8.65951e-10    	87             	1.98478e-08    	5.47133e-08    	0.000630183    	3.92896e-05    	3.90379e-06    	1.22535e-05    	9.93692e-05    	4.91818e-05    	0.000691189    	7.20103e-21    	1e-20          	1e-20          	2.66601e-09    	1.26395e-09    	0.000833673    	2.79897e-21    	-0.000937416           	8.43965e-08            	-1.47143e-14           	-2.06956e-05           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	2.76138e-05    	1.26296e-05    	1.48503e-05    	7.17393e-06    	0.000822413    	0.0181199      	0.0853719      	10             	3.71796e-10    	2.59829e-11    	0.000893372    	0.00838008     	5.42351e-07    	1.22884e-05    	0.000558615    	0.000230372    	0.000337674    	0.000207118    	8.65951e-10    	87             	1.98168e-08    	5.4571e-08     	0.000630532    	3.9332e-05     	3.20469e-06    	1.25499e-05    	0.000123765    	5.92948e-05    	0.000709217    	7.14883e-21    	1e-20          	1e-20          	3.25651e-09    	1.92828e-09    	0.000850069    	2.85117e-21    	-0.00097957            	9.83347e-08            	-1.47143e-14           	-1.46093e-05           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.81054e-05    	1.29118e-05    	1.50567e-05    	7.33425e-06    	0.000862215    	0.0178468      	0.0853712      	10             	3.65345e-10    	2.58907e-11    	0.000921783    	0.00865321     	5.43185e-07    	1.2289e-05     	0.00055805     	0.000230151    	0.000338143    	0.000207072    	8.65951e-10    	87             	1.97858e-08    	5.44291e-08    	0.000630881    	3.93779e-05    	2.5754e-06     	1.27309e-05    	0.000155346    	7.20805e-05    	0.00070993     	7.14678e-21    	1e-20          	1e-20          	4.06506e-09    	3.03093e-09    	0.000854759    	2.85322e-21    	-0.00105514            	1.19989e-07            	-1.47143e-14           	-8.01492e-06           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.85839e-05    	1.31742e-05    	1.52702e-05    	7.48326e-06    	0.000899914    	0.0175956      	0.0853703      	10             	3.59277e-10    	2.58251e-11    	0.000950641    	0.00890443     	5.44018e-07    	1.22899e-05    	0.000557486    	0.000229931    	0.000338647    	0.000207023    	8.65951e-10    	87             	1.9755e-08     	5.42878e-08    	0.000631228    	3.94272e-05    	2.05311e-06    	1.28546e-05    	0.000194831    	8.78638e-05    	0.000697102    	7.18381e-21    	1e-20          	1e-20          	5.11719e-09    	4.80233e-09    	0.000851604    	2.81619e-21    	-0.00123545            	1.5911e-07             	-1.47143e-14           	-7.28164e-07           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.60553e-05    	1.13454e-05    	1.38104e-05    	6.52074e-06    	0.000692526    	0.0190725      	0.0853698      	10             	3.93803e-10    	2.55786e-11    	0.000784384    	0.00742753     	5.44682e-07    	1.22889e-05    	0.000556924    	0.00022971     	0.000338963    	0.000206992    	8.65951e-10    	87             	1.97304e-08    	5.41639e-08    	0.000631377    	3.94581e-05    	5.02327e-06    	1.14769e-05    	7.20484e-05    	3.7629e-05     	0.000643246    	7.34361e-21    	1e-20          	1e-20          	2.06463e-09    	7.07206e-10    	0.000780526    	2.65639e-21    	-0.000887477           	1.0948e-07             	-1.47143e-14           	6.24652e-06            
