TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.81801e-05    	1.36927e-05    	1.44379e-05    	7.7001e-06     	0.000712817    	0.0189171      	0.0854381      	7.34513e-10    	10             	3.6443e-10     	2.47682e-11    	0.000886118    	0.00758289     	2.22279e-05    	9.46291e-06    	1.39099e-05    	4.91115e-06    	0.0006787      	0.000178372    	8.65951e-10    	0.00733645     	87             	4.61077e-10    	3.01288e-11    	0.000674762    	6.80779e-05    	2.22279e-05    	9.46291e-06    	1.39099e-05    	4.91115e-06    	0.0006787      	7.23766e-21    	1e-20          	1e-20          	1e-20          	4.61077e-10    	3.01288e-11    	0.000674762    	2.76234e-21    	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.86453e-05    	1.39731e-05    	1.46217e-05    	7.85781e-06    	0.000733562    	0.0187609      	0.0854374      	7.34511e-10    	10             	3.5856e-10     	2.46828e-11    	0.000912088    	0.00773913     	2.23136e-05    	9.46291e-06    	1.39956e-05    	4.91115e-06    	0.000680557    	0.000178237    	8.65951e-10    	0.00733642     	87             	4.59313e-10    	3.01991e-11    	0.000681528    	6.82126e-05    	2.23136e-05    	9.46291e-06    	1.39956e-05    	4.91115e-06    	0.000680557    	7.23219e-21    	1e-20          	1e-20          	1e-20          	4.59313e-10    	3.01991e-11    	0.000681528    	2.76781e-21    	-0.00106656            	-2.69796e-12           	1.28063e-07            	-1.47143e-14           	-0.00384684            	0.00101074             
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.91362e-05    	1.42829e-05    	1.48018e-05    	8.032e-06      	0.000756635    	0.0185901      	0.0854368      	7.34509e-10    	10             	3.52569e-10    	2.45728e-11    	0.000939014    	0.00790989     	2.23962e-05    	9.46291e-06    	1.40781e-05    	4.91115e-06    	0.000682382    	0.000178105    	8.65951e-10    	0.00733639     	87             	4.57628e-10    	3.02663e-11    	0.000688072    	6.83448e-05    	2.23962e-05    	9.46291e-06    	1.40781e-05    	4.91115e-06    	0.000682382    	7.22683e-21    	1e-20          	1e-20          	1e-20          	4.57628e-10    	3.02663e-11    	0.000688072    	2.77317e-21    	-0.00088837            	-2.76642e-12           	1.08404e-07            	-1.47143e-14           	-0.00382988            	0.00106345             
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.96458e-05    	1.46066e-05    	1.49864e-05    	8.21409e-06    	0.000781162    	0.018412       	0.0854362      	7.34507e-10    	10             	3.4656e-10     	2.4459e-11     	0.000967214    	0.00808803     	2.24712e-05    	9.46291e-06    	1.41532e-05    	4.91115e-06    	0.00068418     	0.000177975    	8.65951e-10    	0.00733636     	87             	4.56107e-10    	3.03269e-11    	0.000694047    	6.84748e-05    	2.24712e-05    	9.46291e-06    	1.41532e-05    	4.91115e-06    	0.00068418     	7.22155e-21    	1e-20          	1e-20          	1e-20          	4.56107e-10    	3.03269e-11    	0.000694047    	2.77845e-21    	-0.000895004           	-2.84199e-12           	1.17421e-07            	-1.47143e-14           	-0.00381502            	0.0012016              
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.02532e-05    	1.50035e-05    	1.51956e-05    	8.43724e-06    	0.000811659    	0.0181952      	0.0854356      	7.34505e-10    	10             	3.39662e-10    	2.4311e-11     	0.00100062     	0.00830484     	2.25394e-05    	9.46291e-06    	1.42214e-05    	4.91115e-06    	0.000685952    	0.000177847    	8.65951e-10    	0.00733633     	87             	4.54732e-10    	3.03817e-11    	0.000699502    	6.86028e-05    	2.25394e-05    	9.46291e-06    	1.42214e-05    	4.91115e-06    	0.000685952    	7.21636e-21    	1e-20          	1e-20          	1e-20          	4.54732e-10    	3.03817e-11    	0.000699502    	2.78364e-21    	-0.000893857           	-2.92166e-12           	1.25188e-07            	-1.47143e-14           	-0.00380207            	0.00132657             
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	3.10071e-05    	1.55051e-05    	1.54409e-05    	8.72027e-06    	0.00085101     	0.0179228      	0.085435       	7.34503e-10    	10             	3.31476e-10    	2.41135e-11    	0.00104189     	0.00857716     	2.25974e-05    	9.46161e-06    	1.42805e-05    	4.91047e-06    	0.000687603    	0.000177728    	8.65951e-10    	0.00733629     	87             	4.53571e-10    	3.04304e-11    	0.000704209    	6.87219e-05    	2.25974e-05    	9.46161e-06    	1.42805e-05    	4.91047e-06    	0.000687603    	7.21153e-21    	1e-20          	1e-20          	1e-20          	4.53571e-10    	3.04304e-11    	0.000704209    	2.78847e-21    	-0.000942991           	-3.01979e-12           	1.43981e-07            	-1.47143e-14           	-0.00379088            	0.00148311             
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.15723e-05    	1.58657e-05    	1.56442e-05    	8.92306e-06    	0.000880328    	0.0177252      	0.0854343      	7.34501e-10    	10             	3.25594e-10    	2.40011e-11    	0.00107468     	0.0087748      	2.2648e-05     	9.46161e-06    	1.43312e-05    	4.91047e-06    	0.000689331    	0.000177604    	8.65951e-10    	0.00733626     	87             	4.52562e-10    	3.04707e-11    	0.00070828     	6.88463e-05    	2.2648e-05     	9.46161e-06    	1.43312e-05    	4.91047e-06    	0.000689331    	7.20648e-21    	1e-20          	1e-20          	1e-20          	4.52562e-10    	3.04707e-11    	0.00070828     	2.79352e-21    	-0.00102354            	-3.14489e-12           	1.72891e-07            	-1.47143e-14           	-0.00378138            	0.00165901             
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.21133e-05    	1.61981e-05    	1.58516e-05    	9.11e-06       	0.00090817     	0.0175415      	0.0854335      	7.34499e-10    	10             	3.20155e-10    	2.39167e-11    	0.00110742     	0.00895851     	2.26861e-05    	9.46161e-06    	1.43692e-05    	4.91047e-06    	0.000691039    	0.000177481    	8.65951e-10    	0.00733623     	87             	4.51806e-10    	3.05008e-11    	0.000711346    	6.89692e-05    	2.26861e-05    	9.46161e-06    	1.43692e-05    	4.91047e-06    	0.000691039    	7.20149e-21    	1e-20          	1e-20          	1e-20          	4.51806e-10    	3.05008e-11    	0.000711346    	2.79851e-21    	-0.00120697            	-3.237e-12             	2.27304e-07            	-1.47143e-14           	-0.00377319            	0.00189978             
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.90091e-05    	1.37743e-05    	1.43836e-05    	7.82755e-06    	0.000687289    	0.019113       	0.0854329      	7.34497e-10    	10             	3.54058e-10    	2.39755e-11    	0.000908646    	0.00738702     	2.2883e-05     	9.56426e-06    	1.4417e-05     	4.97963e-06    	0.000691236    	0.000177467    	8.65951e-10    	0.0073362      	87             	4.47946e-10    	3.03427e-11    	0.000719864    	6.89834e-05    	2.2883e-05     	9.56426e-06    	1.4417e-05     	4.97963e-06    	0.000691236    	7.20092e-21    	1e-20          	1e-20          	1e-20          	4.47946e-10    	3.03427e-11    	0.000719864    	2.79908e-21    	-0.000872267           	-3.32363e-12           	1.55417e-07            	-1.47143e-14           	-0.00376633            	0.0017069              
20151010       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.95146e-05    	1.40764e-05    	1.45537e-05    	8.00073e-06    	0.000769896    	0.0184934      	0.0854323      	7.34495e-10    	10             	3.48043e-10    	2.38504e-11    	0.00093528     	0.00800663     	2.2926e-05     	9.56568e-06    	1.44578e-05    	4.98064e-06    	0.000693015    	0.000177339    	8.65951e-10    	0.00733617     	87             	4.47109e-10    	3.03719e-11    	0.00072325     	6.91111e-05    	2.2926e-05     	9.56568e-06    	1.44578e-05    	4.98064e-06    	0.000693015    	7.19573e-21    	1e-20          	1e-20          	1e-20          	4.47109e-10    	3.03719e-11    	0.00072325     	2.80427e-21    	-0.000972225           	-2.61295e-12           	1.194e-07              	-1.47143e-14           	-0.00385144            	0.00187808             
20151011       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.00849e-05    	1.44364e-05    	1.47413e-05    	8.20536e-06    	0.00079929     	0.0182825      	0.0854317      	7.34493e-10    	10             	3.41502e-10    	2.37078e-11    	0.000965485    	0.00821753     	2.29713e-05    	9.56568e-06    	1.45031e-05    	4.98064e-06    	0.000694801    	0.000177211    	8.65951e-10    	0.00733614     	87             	4.46231e-10    	3.04075e-11    	0.000726945    	6.92392e-05    	2.29713e-05    	9.56568e-06    	1.45031e-05    	4.98064e-06    	0.000694801    	7.19054e-21    	1e-20          	1e-20          	1e-20          	4.46231e-10    	3.04075e-11    	0.000726945    	2.80946e-21    	-0.000795192           	-2.8851e-12            	9.80069e-08            	-1.47143e-14           	-0.00384068            	0.00178547             
20151012       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.07607e-05    	1.48543e-05    	1.4973e-05     	8.44288e-06    	0.000832927    	0.018047       	0.085431       	7.34491e-10    	10             	3.34062e-10    	2.35604e-11    	0.0010025      	0.00845304     	2.29956e-05    	9.56568e-06    	1.45273e-05    	4.98064e-06    	0.000696564    	0.000177085    	8.65951e-10    	0.0073361      	87             	4.45762e-10    	3.04265e-11    	0.000728927    	6.93654e-05    	2.29956e-05    	9.56568e-06    	1.45273e-05    	4.98064e-06    	0.000696564    	7.18542e-21    	1e-20          	1e-20          	1e-20          	4.45762e-10    	3.04265e-11    	0.000728927    	2.81458e-21    	-0.00112423            	-2.98006e-12           	1.666e-07              	-1.47143e-14           	-0.00382969            	0.00219853             
20151013       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	3.01995e-05    	1.43417e-05    	1.47107e-05    	8.1764e-06     	0.000781246    	0.0184114      	0.0854299      	7.34489e-10    	10             	3.40201e-10    	2.35683e-11    	0.000967164    	0.00808864     	2.30513e-05    	9.60084e-06    	1.45322e-05    	5.00395e-06    	0.000698506    	0.000176946    	8.65951e-10    	0.00733607     	87             	4.44694e-10    	3.03643e-11    	0.000730922    	6.95043e-05    	2.30513e-05    	9.60084e-06    	1.45322e-05    	5.00395e-06    	0.000698506    	7.17978e-21    	1e-20          	1e-20          	1e-20          	4.44694e-10    	3.03643e-11    	0.000730922    	2.82022e-21    	-0.00154613            	-3.08755e-12           	2.75159e-07            	-1.47143e-14           	-0.00382029            	0.00262537             
20151014       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.97901e-05    	1.39466e-05    	1.44942e-05    	7.97486e-06    	0.000761184    	0.0185568      	0.0854289      	7.34487e-10    	10             	3.44824e-10    	2.35332e-11    	0.000940155    	0.00794319     	2.31e-05       	9.63124e-06    	1.45334e-05    	5.02475e-06    	0.000700201    	0.000176825    	8.65951e-10    	0.00733604     	87             	4.43763e-10    	3.03038e-11    	0.000732517    	6.96253e-05    	2.31e-05       	9.63124e-06    	1.45334e-05    	5.02475e-06    	0.000700201    	7.17487e-21    	1e-20          	1e-20          	1e-20          	4.43763e-10    	3.03038e-11    	0.000732517    	2.82513e-21    	-0.0015525             	-2.92186e-12           	2.56899e-07            	-1.47143e-14           	-0.00384232            	0.00265627             
20151015       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.03777e-05    	1.43066e-05    	1.46871e-05    	8.18067e-06    	0.000810772    	0.0182014      	0.0854283      	7.34485e-10    	10             	3.3821e-10     	2.33929e-11    	0.000971296    	0.00829861     	2.31332e-05    	9.63124e-06    	1.45666e-05    	5.02475e-06    	0.000701986    	0.000176697    	8.65951e-10    	0.00733601     	87             	4.4313e-10     	3.03298e-11    	0.000735237    	6.97525e-05    	2.31332e-05    	9.63124e-06    	1.45666e-05    	5.02475e-06    	0.000701986    	7.16971e-21    	1e-20          	1e-20          	1e-20          	4.4313e-10     	3.03298e-11    	0.000735237    	2.83029e-21    	-0.000865365           	-2.85673e-12           	1.10498e-07            	-1.47143e-14           	-0.00386279            	0.002041               
