TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151010       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.43965e-05    	9.70949e-06    	1.34132e-05    	5.74307e-06    	0.000630672    	0.0195622      	0.0853643      	10             	4.20308e-10    	2.64979e-11    	0.000713781    	0.00693781     	1.40952e-05    	5.73361e-06    	2.02198e-05    	7.7962e-06     	0.000320147    	0.00020885     	8.65951e-10    	87             	7.27537e-10    	6.91472e-11    	0.000621616    	3.75998e-05    	1.87169e-05    	7.70549e-06    	1.63566e-05    	6.77793e-06    	0.000474155    	7.89492e-21    	1e-20          	1e-20          	5.4782e-10     	4.2113e-11     	0.000667814    	2.10508e-21    	-0.00102661            	3.04157e-08            	-1.47143e-14           	-0.000185087           
20151011       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.49393e-05    	9.99853e-06    	1.3629e-05     	5.91404e-06    	0.000672815    	0.0192258      	0.0853637      	10             	4.1123e-10     	2.63471e-11    	0.000741276    	0.00727415     	1.41254e-05    	5.73861e-06    	2.01766e-05    	7.77551e-06    	0.000320717    	0.000208793    	8.65951e-10    	87             	7.25975e-10    	6.88508e-11    	0.000621625    	3.76565e-05    	1.73485e-05    	7.18339e-06    	1.75115e-05    	7.14418e-06    	0.000440133    	8.01599e-21    	1e-20          	1e-20          	5.91071e-10    	4.86496e-11    	0.00066265     	1.98401e-21    	-0.000825009           	3.00426e-08            	-1.47143e-14           	-0.000170445           
20151012       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.55903e-05    	1.03371e-05    	1.3897e-05     	6.11431e-06    	0.000719069    	0.0188698      	0.085363       	10             	4.00846e-10    	2.6192e-11     	0.000775435    	0.00763025     	1.41595e-05    	5.74479e-06    	2.01364e-05    	7.75568e-06    	0.000321439    	0.000208722    	8.65951e-10    	87             	7.24225e-10    	6.85475e-11    	0.000621885    	3.77283e-05    	1.54588e-05    	6.36161e-06    	1.90625e-05    	7.53522e-06    	0.000374846    	8.25906e-21    	1e-20          	1e-20          	6.63348e-10    	5.94367e-11    	0.000642745    	1.74094e-21    	-0.00114734            	5.93898e-08            	-1.47143e-14           	-0.000202075           
20151013       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.5158e-05     	9.9914e-06     	1.36248e-05    	5.93038e-06    	0.000683288    	0.019144       	0.0853619      	10             	4.07665e-10    	2.61114e-11    	0.000747532    	0.00735596     	1.41933e-05    	5.74969e-06    	2.00971e-05    	7.73533e-06    	0.000322044    	0.000208662    	8.65951e-10    	87             	7.22493e-10    	6.82495e-11    	0.000622159    	3.77885e-05    	1.66398e-05    	6.84436e-06    	1.80436e-05    	7.26952e-06    	0.000415272    	8.10685e-21    	1e-20          	1e-20          	6.16244e-10    	5.22629e-11    	0.000654897    	1.89315e-21    	-0.00155555            	1.11572e-07            	-1.47143e-14           	-0.000230124           
20151014       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.48379e-05    	9.72188e-06    	1.33999e-05    	5.78963e-06    	0.00065738     	0.0193477      	0.0853609      	10             	4.12865e-10    	2.60045e-11    	0.00072593     	0.00715232     	1.42253e-05    	5.7536e-06     	2.00568e-05    	7.71461e-06    	0.000322567    	0.00020861     	8.65951e-10    	87             	7.2086e-10     	6.79582e-11    	0.000622319    	3.78404e-05    	1.73498e-05    	7.08768e-06    	1.73756e-05    	7.06746e-06    	0.000435126    	8.03413e-21    	1e-20          	1e-20          	5.90995e-10    	4.82635e-11    	0.000657595    	1.96587e-21    	-0.00157532            	9.55556e-08            	-1.47143e-14           	-0.000221481           
20151015       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.54126e-05    	1.00197e-05    	1.36243e-05    	5.96697e-06    	0.000699299    	0.0190203      	0.0853603      	10             	4.03597e-10    	2.5851e-11     	0.000755039    	0.00747967     	1.4256e-05     	5.75855e-06    	2.00144e-05    	7.69466e-06    	0.000323225    	0.000208544    	8.65951e-10    	87             	7.19301e-10    	6.76673e-11    	0.000622348    	3.79057e-05    	1.565e-05      	6.38867e-06    	1.88137e-05    	7.43917e-06    	0.000378838    	8.24377e-21    	1e-20          	1e-20          	6.55219e-10    	5.79398e-11    	0.000642226    	1.75623e-21    	-0.000884336           	3.67306e-08            	-1.47143e-14           	-0.000164569           
20151016       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.8197e-06     	2.26e-06       	1e-10          	1.03e-05       	7.17e-05       	2.54653e-05    	1.00469e-05    	1.36685e-05    	6.23388e-06    	0.000708297    	0.0189515      	0.0853597      	10             	4.02807e-10    	2.5887e-11     	0.000758972    	0.0075485      	1.42869e-05    	5.76356e-06    	1.99726e-05    	7.67578e-06    	0.000323913    	0.000208476    	8.65951e-10    	87             	7.1774e-10     	6.7379e-11     	0.0006224      	3.79739e-05    	1.51957e-05    	6.17955e-06    	1.91836e-05    	7.53575e-06    	0.000361244    	8.31156e-21    	1e-20          	1e-20          	6.74812e-10    	6.08463e-11    	0.000635841    	1.68844e-21    	-0.000883108           	4.56755e-08            	-1.47143e-14           	-0.000166582           
20151017       	1.80076e-06    	2.23647e-06    	9.89589e-11    	1.01928e-05    	7.09535e-05    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.5995e-05     	1.03263e-05    	1.38701e-05    	6.40726e-06    	0.000747384    	0.0186582      	0.0853592      	10             	3.94662e-10    	2.57418e-11    	0.000786061    	0.00784179     	1.43154e-05    	5.77308e-06    	1.99639e-05    	7.67314e-06    	0.000324797    	0.000208388    	8.65951e-10    	87             	7.16314e-10    	6.7216e-11     	0.000623367    	3.80616e-05    	1.43154e-05    	5.77308e-06    	1.99639e-05    	7.67314e-06    	0.000324797    	8.45561e-21    	1e-20          	1e-20          	7.16314e-10    	6.7216e-11     	0.000623367    	1.54439e-21    	-0.000730042           	3.61711e-08            	-1.47143e-14           	-0.000151971           
20151018       	1.80263e-06    	2.2388e-06     	9.9062e-11     	1.02034e-05    	7.10275e-05    	1.80263e-06    	2.2388e-06     	9.9062e-11     	1.02034e-05    	7.10275e-05    	2.60392e-05    	1.03278e-05    	1.39131e-05    	6.41418e-06    	0.000754098    	0.0186087      	0.0853589      	10             	3.93997e-10    	2.57782e-11    	0.000789828    	0.00789126     	1.43215e-05    	5.77308e-06    	1.99701e-05    	7.67314e-06    	0.000324943    	0.000208374    	8.65951e-10    	87             	7.16008e-10    	6.7208e-11     	0.000623826    	3.80761e-05    	1.43215e-05    	5.77308e-06    	1.99701e-05    	7.67314e-06    	0.000324943    	8.45502e-21    	1e-20          	1e-20          	7.16008e-10    	6.7208e-11     	0.000623826    	1.54498e-21    	-0.000476277           	2.39302e-08            	-1.47143e-14           	-0.000111662           
20151019       	1.78644e-06    	2.21869e-06    	9.81721e-11    	1.01117e-05    	7.03894e-05    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.60738e-05    	1.03278e-05    	1.39476e-05    	6.41418e-06    	0.000754432    	0.0186063      	0.0853587      	10             	3.93477e-10    	2.58084e-11    	0.000792836    	0.00789372     	1.43267e-05    	5.77308e-06    	1.99753e-05    	7.67314e-06    	0.000325076    	0.000208361    	8.65951e-10    	87             	7.15748e-10    	6.72012e-11    	0.000624215    	3.80893e-05    	1.43267e-05    	5.77308e-06    	1.99753e-05    	7.67314e-06    	0.000325076    	8.45448e-21    	1e-20          	1e-20          	7.15748e-10    	6.72012e-11    	0.000624215    	1.54552e-21    	-0.000380357           	1.81721e-08            	-1.47143e-14           	-9.43186e-05           
