TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.10855e-05    	1.66781e-05    	1.47681e-05    	9.17875e-06    	0.000822562    	0.0181189      	0.0854194      	7.34284e-10    	10             	3.30705e-10    	2.30137e-11    	0.000998819    	0.00838112     	1.27992e-06    	2.62795e-05    	0.000315529    	0.000150234    	0.00238083     	0.00010537     	8.65951e-10    	0.00731347     	87             	8.29768e-09    	1.27507e-08    	0.000850552    	0.00014108     	9.26832e-06    	1.83194e-05    	4.94626e-05    	3.32909e-05    	0.00108893     	6.2021e-21     	1e-20          	1e-20          	1e-20          	1.11728e-09    	2.62329e-10    	0.000990194    	3.7979e-21     	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.14669e-05    	1.69194e-05    	1.49135e-05    	9.31153e-06    	0.000852314    	0.017914       	0.0854186      	7.34282e-10    	10             	3.26731e-10    	2.29634e-11    	0.00102092     	0.00858605     	1.2987e-06     	2.62934e-05    	0.000314906    	0.000149991    	0.00238353     	0.000105302    	8.65951e-10    	0.00731339     	87             	8.17743e-09    	1.25406e-08    	0.000861355    	0.000141148    	6.81999e-06    	1.913e-05      	6.813e-05      	4.24863e-05    	0.0012134      	5.94405e-21    	1e-20          	1e-20          	1e-20          	1.5226e-09     	4.93803e-10    	0.00100082     	4.05595e-21    	-0.00111003            	-3.0537e-12            	2.03203e-07            	-1.47143e-14           	-0.00967528            	0.00479533             
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.18767e-05    	1.71927e-05    	1.5056e-05     	9.4619e-06     	0.000893726    	0.0176363      	0.085418       	7.3428e-10     	10             	3.22567e-10    	2.289e-11      	0.00104398     	0.00886369     	1.31869e-06    	2.63084e-05    	0.000314285    	0.000149749    	0.0023864      	0.000105229    	8.65951e-10    	0.0073133      	87             	8.05312e-09    	1.23251e-08    	0.000872925    	0.000141221    	4.9793e-06     	2.01214e-05    	9.41221e-05    	5.45345e-05    	0.00137331     	5.64245e-21    	1e-20          	1e-20          	1e-20          	2.09247e-09    	9.40697e-10    	0.0010061      	4.35755e-21    	-0.000915493           	-3.14806e-12           	1.61684e-07            	-1.47143e-14           	-0.00969291            	0.00464214             
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.23044e-05    	1.74796e-05    	1.5203e-05     	9.61981e-06    	0.000936042    	0.0173614      	0.0854174      	7.34278e-10    	10             	3.18334e-10    	2.2813e-11     	0.00106819     	0.00913863     	1.33714e-06    	2.63244e-05    	0.000313662    	0.000149508    	0.00238943     	0.000105153    	8.65951e-10    	0.00731322     	87             	7.94169e-09    	1.213e-08      	0.000883421    	0.000141297    	3.62214e-06    	2.1319e-05     	0.000129527    	7.03429e-05    	0.00156693     	5.31584e-21    	1e-20          	1e-20          	1e-20          	2.88784e-09    	1.79377e-09    	0.00100322     	4.68416e-21    	-0.000914675           	-3.27781e-12           	1.65865e-07            	-1.47143e-14           	-0.00971006            	0.00491884             
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.28351e-05    	1.78481e-05    	1.53732e-05    	9.8226e-06     	0.000985056    	0.0170534      	0.0854168      	7.34276e-10    	10             	3.13236e-10    	2.27023e-11    	0.00109773     	0.00944658     	1.3543e-06     	2.63417e-05    	0.000313039    	0.000149268    	0.00239265     	0.000105072    	8.65951e-10    	0.00731314     	87             	7.84076e-09    	1.19516e-08    	0.000893015    	0.000141378    	2.625e-06      	2.28035e-05    	0.000177208    	9.11804e-05    	0.0018063      	4.96085e-21    	1e-20          	1e-20          	1e-20          	4.00315e-09    	3.41771e-09    	0.000990129    	5.03915e-21    	-0.000907062           	-3.40852e-12           	1.68564e-07            	-1.47143e-14           	-0.00972683            	0.00516043             
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	3.35147e-05    	1.83298e-05    	1.55765e-05    	1.00886e-05    	0.00104463     	0.0166935      	0.0854162      	7.34273e-10    	10             	3.06943e-10    	2.25447e-11    	0.00113505     	0.00980647     	1.36935e-06    	2.63607e-05    	0.000312414    	0.00014903     	0.00239608     	0.000104985    	8.65951e-10    	0.00731306     	87             	7.75432e-09    	1.17958e-08    	0.000901166    	0.000141465    	1.89591e-06    	2.45601e-05    	0.000239184    	0.000117878    	0.00209307     	4.59335e-21    	1e-20          	1e-20          	1e-20          	5.57119e-09    	6.45359e-09    	0.000960283    	5.40665e-21    	-0.000951211           	-3.55762e-12           	1.8551e-07             	-1.47143e-14           	-0.00974336            	0.00553641             
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.41237e-05    	1.87539e-05    	1.57704e-05    	1.03221e-05    	0.00110123     	0.0163654      	0.0854155      	7.34271e-10    	10             	3.01515e-10    	2.24255e-11    	0.00116987     	0.0101346      	1.37771e-06    	2.63487e-05    	0.000311903    	0.000148812    	0.00239813     	0.000104934    	8.65951e-10    	0.00731298     	87             	7.70696e-09    	1.17041e-08    	0.000905222    	0.000141516    	1.37771e-06    	2.63487e-05    	0.000311903    	0.000148812    	0.00239813     	4.25781e-21    	1e-20          	1e-20          	1e-20          	7.70696e-09    	1.17041e-08    	0.000905222    	5.74219e-21    	-0.00102734            	-3.73558e-12           	2.13786e-07            	-1.47143e-14           	-0.0097598             	0.00599453             
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.47064e-05    	1.91468e-05    	1.59687e-05    	1.05383e-05    	0.00114621     	0.0161137      	0.0854147      	7.34268e-10    	10             	2.96499e-10    	2.23332e-11    	0.00120462     	0.0103863      	1.37913e-06    	2.63487e-05    	0.000311905    	0.000148812    	0.00240239     	0.000104827    	8.65951e-10    	0.0073129      	87             	7.69903e-09    	1.16921e-08    	0.000906159    	0.000141623    	1.37913e-06    	2.63487e-05    	0.000311905    	0.000148812    	0.00240239     	4.25346e-21    	1e-20          	1e-20          	1e-20          	7.69903e-09    	1.16921e-08    	0.000906159    	5.74654e-21    	-0.0012067             	-3.90143e-12           	2.75534e-07            	-1.47143e-14           	-0.00976892            	0.0066196              
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	3.18115e-05    	1.66453e-05    	1.46877e-05    	9.25134e-06    	0.000886801    	0.0176821      	0.0854141      	7.34266e-10    	10             	3.23181e-10    	2.23693e-11    	0.00101651     	0.00881786     	1.39224e-06    	2.63615e-05    	0.000311282    	0.000148571    	0.00240525     	0.000104755    	8.65951e-10    	0.00731282     	87             	7.62627e-09    	1.15581e-08    	0.000912977    	0.000141695    	4.04438e-06    	2.04364e-05    	0.000114521    	6.36109e-05    	0.00147927     	5.4589e-21     	1e-20          	1e-20          	1e-20          	2.58213e-09    	1.41572e-09    	0.000992007    	4.5411e-21     	-0.000872074           	-4.03106e-12           	1.86883e-07            	-1.47143e-14           	-0.00976697            	0.00575524             
