TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.81801e-05    	1.36927e-05    	1.44379e-05    	7.7001e-06     	0.000712817    	0.0189171      	0.0854381      	10             	3.6443e-10     	2.47682e-11    	0.000886118    	0.00758289     	2.11542e-05    	9.46291e-06    	1.28361e-05    	4.91115e-06    	0.000463376    	0.000195506    	8.65951e-10    	87             	4.84374e-10    	2.92016e-11    	0.000592726    	5.09442e-05    	2.11542e-05    	9.46291e-06    	1.28361e-05    	4.91115e-06    	0.000463376    	7.93288e-21    	1e-20          	1e-20          	4.84374e-10    	2.92016e-11    	0.000592726    	2.06712e-21    	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.86453e-05    	1.39731e-05    	1.46217e-05    	7.85781e-06    	0.000733562    	0.0187609      	0.0854374      	10             	3.5856e-10     	2.46828e-11    	0.000912088    	0.00773913     	2.11967e-05    	9.46291e-06    	1.28787e-05    	4.91115e-06    	0.000463668    	0.00019548     	8.65951e-10    	87             	4.83406e-10    	2.924e-11      	0.000595882    	5.09697e-05    	2.11967e-05    	9.46291e-06    	1.28787e-05    	4.91115e-06    	0.000463668    	7.93185e-21    	1e-20          	1e-20          	4.83406e-10    	2.924e-11      	0.000595882    	2.06815e-21    	-0.00106656            	1.28063e-07            	-1.47143e-14           	-0.000785022           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.91362e-05    	1.42829e-05    	1.48018e-05    	8.032e-06      	0.000756635    	0.0185901      	0.0854368      	10             	3.52569e-10    	2.45728e-11    	0.000939014    	0.00790989     	2.12329e-05    	9.46291e-06    	1.29149e-05    	4.91115e-06    	0.000463935    	0.000195457    	8.65951e-10    	87             	4.82585e-10    	2.92727e-11    	0.000598575    	5.0993e-05     	2.12329e-05    	9.46291e-06    	1.29149e-05    	4.91115e-06    	0.000463935    	7.9309e-21     	1e-20          	1e-20          	4.82585e-10    	2.92727e-11    	0.000598575    	2.0691e-21     	-0.00088837            	1.08404e-07            	-1.47143e-14           	-0.000666122           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.96458e-05    	1.46066e-05    	1.49864e-05    	8.21409e-06    	0.000781162    	0.018412       	0.0854362      	10             	3.4656e-10     	2.4459e-11     	0.000967214    	0.00808803     	2.12669e-05    	9.46291e-06    	1.29488e-05    	4.91115e-06    	0.00046418     	0.000195436    	8.65951e-10    	87             	4.81818e-10    	2.93032e-11    	0.000601103    	5.10143e-05    	2.12669e-05    	9.46291e-06    	1.29488e-05    	4.91115e-06    	0.00046418     	7.93004e-21    	1e-20          	1e-20          	4.81818e-10    	2.93032e-11    	0.000601103    	2.06996e-21    	-0.000895004           	1.17421e-07            	-1.47143e-14           	-0.000622088           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.02532e-05    	1.50035e-05    	1.51956e-05    	8.43724e-06    	0.000811659    	0.0181952      	0.0854356      	10             	3.39662e-10    	2.4311e-11     	0.00100062     	0.00830484     	2.12985e-05    	9.46291e-06    	1.29805e-05    	4.91115e-06    	0.000464404    	0.000195416    	8.65951e-10    	87             	4.81106e-10    	2.93315e-11    	0.000603462    	5.10338e-05    	2.12985e-05    	9.46291e-06    	1.29805e-05    	4.91115e-06    	0.000464404    	7.92924e-21    	1e-20          	1e-20          	4.81106e-10    	2.93315e-11    	0.000603462    	2.07076e-21    	-0.000893857           	1.25188e-07            	-1.47143e-14           	-0.000577896           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	3.10071e-05    	1.55051e-05    	1.54409e-05    	8.72027e-06    	0.00085101     	0.0179228      	0.085435       	10             	3.31476e-10    	2.41135e-11    	0.00104189     	0.00857716     	2.13269e-05    	9.46161e-06    	1.301e-05      	4.91047e-06    	0.000464543    	0.000195404    	8.65951e-10    	87             	4.80468e-10    	2.93595e-11    	0.000605638    	5.10459e-05    	2.13269e-05    	9.46161e-06    	1.301e-05      	4.91047e-06    	0.000464543    	7.92875e-21    	1e-20          	1e-20          	4.80468e-10    	2.93595e-11    	0.000605638    	2.07125e-21    	-0.000942991           	1.43981e-07            	-1.47143e-14           	-0.000551089           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.15723e-05    	1.58657e-05    	1.56442e-05    	8.92306e-06    	0.000880328    	0.0177252      	0.0854343      	10             	3.25594e-10    	2.40011e-11    	0.00107468     	0.0087748      	2.13562e-05    	9.46161e-06    	1.30393e-05    	4.91047e-06    	0.000464731    	0.000195388    	8.65951e-10    	87             	4.79811e-10    	2.93856e-11    	0.000607835    	5.10622e-05    	2.13562e-05    	9.46161e-06    	1.30393e-05    	4.91047e-06    	0.000464731    	7.92809e-21    	1e-20          	1e-20          	4.79811e-10    	2.93856e-11    	0.000607835    	2.07191e-21    	-0.00102354            	1.72891e-07            	-1.47143e-14           	-0.000533671           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.21133e-05    	1.61981e-05    	1.58516e-05    	9.11e-06       	0.00090817     	0.0175415      	0.0854335      	10             	3.20155e-10    	2.39167e-11    	0.00110742     	0.00895851     	2.13854e-05    	9.46161e-06    	1.30685e-05    	4.91047e-06    	0.000464902    	0.000195373    	8.65951e-10    	87             	4.79158e-10    	2.94116e-11    	0.000610028    	5.10772e-05    	2.13854e-05    	9.46161e-06    	1.30685e-05    	4.91047e-06    	0.000464902    	7.92748e-21    	1e-20          	1e-20          	4.79158e-10    	2.94116e-11    	0.000610028    	2.07252e-21    	-0.00120697            	2.27304e-07            	-1.47143e-14           	-0.000530588           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	2.90091e-05    	1.37743e-05    	1.43836e-05    	7.82755e-06    	0.000687289    	0.019113       	0.0854329      	10             	3.54058e-10    	2.39755e-11    	0.000908646    	0.00738702     	2.15949e-05    	9.56426e-06    	1.31289e-05    	4.97963e-06    	0.00046883     	0.000195031    	8.65951e-10    	87             	4.74542e-10    	2.92646e-11    	0.000618807    	5.14187e-05    	2.15949e-05    	9.56426e-06    	1.31289e-05    	4.97963e-06    	0.00046883     	7.91362e-21    	1e-20          	1e-20          	4.74542e-10    	2.92646e-11    	0.000618807    	2.08638e-21    	-0.000872267           	1.55417e-07            	-1.47143e-14           	-0.000416056           
