Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	1.5285954288	1.116	0.0	7.9	2.27	2.27	0.0	0.00	69.7	0.0	0.0	15.5	0.000	0.000	1.5285954288	1.529	0.000
20151002	1.3911819498	0.592	0.0	5.9	1.68	1.68	0.0	0.00	68.0	0.0	0.0	14.1	0.000	0.000	1.3911819498	1.391	0.000
20151003	1.2661212909	0.452	0.0	6.2	1.86	1.91	0.0	0.00	66.2	0.0	0.0	12.8	0.000	0.000	1.2661212909	1.266	0.000
20151004	1.1523029921	0.376	0.0	6.4	1.80	1.90	0.0	0.00	64.4	0.0	0.0	11.7	0.000	0.000	1.1523029921	1.152	0.000
20151005	1.0487164185	0.340	0.0	7.3	2.12	2.30	0.0	0.00	62.3	0.0	0.0	10.6	0.000	0.000	1.0487164185	1.049	0.000
20151006	0.9574207512	0.319	0.1	8.6	2.47	2.77	0.0	0.00	59.8	0.0	0.0	9.7	0.000	0.000	0.9574207512	0.957	0.000
20151007	0.8713531667	0.314	0.0	10.8	1.75	2.04	0.0	0.00	58.1	0.0	0.0	8.8	0.000	0.000	0.8713531667	0.871	0.000
20151008	0.7930226498	0.308	0.0	7.1	1.50	1.80	0.0	0.00	56.6	0.0	0.0	8.0	0.000	0.000	0.7930226498	0.793	0.000
20151009	1.2300404058	1.196	17.1	7.1	1.07	1.19	0.0	0.00	67.0	5.7	0.0	12.5	0.000	0.000	1.2300404058	1.230	0.000
20151010	1.1294559813	0.728	0.3	4.9	1.99	2.07	0.0	0.00	65.2	0.1	0.0	11.4	0.000	0.000	1.1294559813	1.129	0.000
20151011	1.0279232455	0.533	0.0	9.3	2.02	2.16	0.0	0.00	63.2	0.0	0.0	10.4	0.000	0.000	1.0279232455	1.028	0.000
20151012	0.9355178212	0.467	0.0	13.4	2.12	2.34	0.0	0.00	61.0	0.0	0.0	9.5	0.000	0.000	0.9355178212	0.935	0.000
20151013	1.0008613170	0.469	5.0	13.2	1.42	1.58	0.0	0.00	63.0	1.7	0.0	10.1	0.000	0.000	1.000861317	1.001	0.000
20151014	1.0640538598	0.666	4.9	6.0	1.61	1.74	0.0	0.00	64.5	1.7	0.0	10.8	0.000	0.000	1.0640538598	1.064	0.000
